Date,VOO,VT,AAPL,MSFT
09/09/2010,83.534241,34.026402,32.622215,19.121811
10/09/2010,83.913506,34.169239,32.664379,18.994387
13/09/2010,84.968819,34.700897,33.114513,19.997868
14/09/2010,84.952339,34.804054,33.24099,19.934149
15/09/2010,85.166672,34.835804,33.508862,20.005825
16/09/2010,85.133705,34.748505,34.296291,20.173079
17/09/2010,85.216171,34.653282,34.147488,20.085474
20/09/2010,86.60125,35.184948,35.122169,20.252716
21/09/2010,86.337433,35.16114,35.189137,20.029716
22/09/2010,85.87571,35.121468,35.682678,19.599661
23/09/2010,85.166672,34.756435,35.827755,19.456308
24/09/2010,86.905792,35.581707,36.249378,19.735052
27/09/2010,86.491318,35.446804,36.105537,19.69523
28/09/2010,87.055,35.668987,35.572304,19.655407
29/09/2010,86.640526,35.637253,35.635555,19.512056
30/09/2010,86.507912,35.542034,35.186657,19.504093
01/10/2010,86.80632,35.835621,35.03413,19.416481
04/10/2010,86.076889,35.510296,34.552975,19.04217
05/10/2010,87.966835,36.343498,35.83025,19.392593
06/10/2010,87.817657,36.422848,35.861256,19.456308
07/10/2010,87.767914,36.335564,35.864967,19.535944
08/10/2010,88.43103,36.549812,36.466404,19.567801
11/10/2010,88.281822,36.51807,36.626366,19.583729
12/10/2010,88.795784,36.565693,37.020699,19.774874
13/10/2010,89.326294,36.962452,37.219105,20.181038
14/10/2010,88.994728,36.978317,37.488209,20.09343
15/10/2010,89.160477,36.946583,39.029591,20.340324
18/10/2010,89.807068,37.033859,39.433857,20.56332
19/10/2010,88.381302,36.248272,38.378567,19.989901
20/10/2010,89.326294,36.851357,38.507534,20.157148
21/10/2010,89.458916,36.803734,38.382286,20.244749
22/10/2010,89.674423,36.883106,38.128075,20.212891
25/10/2010,89.939713,37.049732,38.297962,20.061577
26/10/2010,89.923119,36.898975,38.199986,20.627024
27/10/2010,89.641312,36.613297,38.17271,20.746487
28/10/2010,89.707619,36.851357,37.85154,20.929661
29/10/2010,89.773926,36.891033,37.32328,21.240265
01/11/2010,89.823647,36.867218,37.720089,21.463259
02/11/2010,90.519974,37.311596,38.362438,21.813683
03/11/2010,90.90126,37.509975,38.789024,21.52697
04/11/2010,92.608871,38.303505,39.467331,21.61458
05/11/2010,92.973618,38.29557,39.325974,21.383619
08/11/2010,92.857529,38.168602,39.510738,21.351761
09/11/2010,92.128113,37.827389,39.195766,21.463259
10/11/2010,92.476242,37.91468,39.437569,21.455297
11/11/2010,92.177841,37.748047,39.266441,21.248234
12/11/2010,91.03389,37.248116,38.197517,20.921703
15/11/2010,90.951027,37.21637,38.074757,20.865948
16/11/2010,89.492073,36.462521,37.398918,20.68165
17/11/2010,89.558388,36.565693,37.263741,20.489336
18/11/2010,90.884689,37.311596,38.247131,20.705687
19/11/2010,91.100212,37.311596,38.03632,20.585495
22/11/2010,91.017326,37.176697,38.858463,20.617542
23/11/2010,89.740761,36.295879,38.284325,20.128752
24/11/2010,90.90126,36.859295,39.037033,20.329079
26/11/2010,90.387344,36.446659,39.06184,20.232922
29/11/2010,90.304443,36.248272,39.293724,20.281002
30/11/2010,89.674423,35.914989,38.584427,20.240932
01/12/2010,91.69706,36.835476,39.235447,20.86595
02/12/2010,92.890717,37.509975,39.452446,21.54706
03/12/2010,93.122818,37.692493,39.364422,21.65123
06/12/2010,93.006737,37.589333,39.700459,21.50699
07/12/2010,93.03994,37.549648,39.459904,21.531036
08/12/2010,93.421227,37.61314,39.807106,21.819502
09/12/2010,93.769371,37.71629,39.652103,21.699305
10/12/2010,94.333061,37.875008,39.751312,21.907644
13/12/2010,94.38282,38.121002,39.888969,21.835524
14/12/2010,94.432549,38.168602,39.717827,22.132013
15/12/2010,94.018074,37.803577,39.726505,22.316315
16/12/2010,94.565178,38.01783,39.836876,22.428497
17/12/2010,94.697777,37.906734,39.757511,22.356382
20/12/2010,94.896759,37.954346,39.955917,22.284258
21/12/2010,95.47702,38.279705,40.202682,22.492596
22/12/2010,95.825195,38.383232,40.321732,22.588747
23/12/2010,95.675957,38.310448,40.128281,22.676893
27/12/2010,95.747574,38.334705,40.262222,22.492596
28/12/2010,95.847488,38.310448,40.36018,22.444517
29/12/2010,95.930748,38.577381,40.337868,22.412468
30/12/2010,95.780869,38.545029,40.135727,22.316315
31/12/2010,95.880806,38.666363,39.999332,22.364389
03/01/2011,96.780151,39.014202,40.868607,22.420481
04/01/2011,96.696877,38.949486,41.081905,22.508627
05/01/2011,97.21315,38.965668,41.417946,22.436506
06/01/2011,97.046631,38.690624,41.384472,23.093576
