Date,SPX,VIX
2000-02-17,1388.26001,23.17
2000-02-18,1346.089966,26.0
2000-02-22,1352.170044,25.860001
2000-02-23,1360.689941,23.889999
2000-02-24,1353.430054,24.379999
2000-02-25,1333.359985,25.200001
2000-02-28,1348.050049,24.68
2000-02-29,1366.420044,23.370001
2000-03-01,1379.189941,21.639999
2000-03-02,1381.76001,21.059999
2000-03-03,1409.170044,19.209999
2000-03-06,1391.280029,21.5
2000-03-07,1355.619995,24.309999
2000-03-08,1366.699951,23.82
2000-03-09,1401.689941,22.209999
2000-03-10,1395.069946,21.24
2000-03-13,1383.619995,22.85
2000-03-14,1359.150024,24.41
2000-03-15,1392.140015,22.34
2000-03-16,1458.469971,20.77
2000-03-17,1464.469971,22.370001
2000-03-20,1456.630005,22.959999
2000-03-21,1493.869995,21.700001
2000-03-22,1500.640015,21.49
2000-03-23,1527.349976,22.26
2000-03-24,1527.459961,23.309999
2000-03-27,1523.859985,24.530001
2000-03-28,1507.72998,24.860001
2000-03-29,1508.52002,24.1
2000-03-30,1487.920044,25.469999
2000-03-31,1498.579956,24.110001
2000-04-03,1505.969971,24.030001
2000-04-04,1494.72998,27.120001
2000-04-05,1487.369995,28.41
2000-04-06,1501.339966,27.15
2000-04-07,1516.349976,24.389999
2000-04-10,1504.459961,25.99
2000-04-11,1500.589966,27.25
2000-04-12,1467.170044,28.98
2000-04-13,1440.51001,29.4
2000-04-14,1356.560059,33.490002000000004
2000-04-17,1401.439941,28.950001
2000-04-18,1441.609985,26.120001
2000-04-19,1427.469971,27.02
2000-04-20,1434.540039,25.85
2000-04-24,1429.859985,27.370001
2000-04-25,1477.439941,25.24
2000-04-26,1460.98999,26.969999
2000-04-27,1464.920044,26.190001
2000-04-28,1452.430054,26.200001
2000-05-01,1468.25,25.879999
2000-05-02,1446.290039,28.5
2000-05-03,1415.099976,31.629999
2000-05-04,1409.569946,30.77
2000-05-05,1432.630005,27.530001
2000-05-08,1424.170044,28.200001
2000-05-09,1412.140015,28.93
2000-05-10,1383.050049,29.870001
2000-05-11,1407.810059,27.76
2000-05-12,1420.959961,26.049999
2000-05-15,1452.359985,24.860001
2000-05-16,1466.040039,24.34
2000-05-17,1447.800049,23.98
2000-05-18,1437.209961,23.959999
2000-05-19,1406.949951,25.440001
2000-05-22,1400.719971,26.0
2000-05-23,1373.859985,25.870001
2000-05-24,1399.050049,24.32
2000-05-25,1381.52002,24.58
2000-05-26,1378.02002,24.469999
2000-05-30,1422.449951,23.620001
2000-05-31,1420.599976,23.65
2000-06-01,1448.810059,22.360001
2000-06-02,1477.26001,21.48
2000-06-05,1467.630005,22.709999
2000-06-06,1457.839966,23.049999
2000-06-07,1471.359985,22.48
2000-06-08,1461.670044,22.77
2000-06-09,1456.949951,22.139999
2000-06-12,1446.0,22.32
2000-06-13,1469.439941,21.67
2000-06-14,1470.540039,21.48
2000-06-15,1478.72998,20.68
2000-06-16,1464.459961,20.5
2000-06-19,1486.0,20.629999
2000-06-20,1475.949951,20.879999
2000-06-21,1479.130005,20.610001
2000-06-22,1452.180054,22.0
2000-06-23,1441.47998,22.34
2000-06-26,1455.310059,22.450001
2000-06-27,1450.550049,21.799999
2000-06-28,1454.819946,20.290001
2000-06-29,1442.390015,19.700001
2000-06-30,1454.599976,19.540001
2000-07-03,1469.540039,19.83
2000-07-05,1446.22998,21.16
2000-07-06,1456.670044,20.940001
2000-07-07,1478.900024,19.219999
2000-07-10,1475.619995,20.33
2000-07-11,1480.880005,20.110001
2000-07-12,1492.920044,20.030001
2000-07-13,1495.839966,20.030001
2000-07-14,1509.97998,19.32
2000-07-17,1510.48999,19.450001
2000-07-18,1493.73999,19.75
